,Name,Track_ID,Album,Artist,Artist_ID,Artist_Genre,Duration_ms,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Playlist
33,pl4yg1rl,3xA9Cta8gafKNV1xNpMK2r,pl4yg1rl,Lolo Zouaï,2qDIR2WlcW3llkGqJWg9VJ,['pop'],159493,57,False,0.72,0.561,6,-7.159,0,0.227,0.0552,0.00139,0.514,0.439,98.977,BBE
34,Gimme More,6ic8OlLUNEATToEFU3xmaH,Blackout,Britney Spears,26dSoYclwsYLMAKD3tpOr4,"['dance pop', 'pop']",251240,80,False,0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324,BBE
35,BILLS PAID (feat. Latto & City Girls),0JiLQRLOeWQdPC9rVpOqqo,GOD DID,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",208932,69,True,0.74,0.687,1,-7.193,1,0.218,0.00828,0.0,0.352,0.63,105.034,BBE
36,Plan B,2PljnVsnl2PRwCvfhbdQup,Plan B,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,"['dance pop', 'houston rap', 'pop', 'rap', 'trap queen']",163764,72,True,0.787,0.522,8,-5.872,1,0.463,0.0668,0.0,0.108,0.666,170.439,BBE
37,Hot Girl (Bodies Bodies Bodies),0FZUbqZ1x2G71vl027d8Ud,Hot Girl (Bodies Bodies Bodies),Charli XCX,25uiPmTg16RbhZWAqwLBy5,"['art pop', 'candy pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'uk pop']",157078,66,True,0.852,0.592,1,-6.464,1,0.105,0.0058,0.0,0.375,0.237,102.014,BBE
38,Swamp Bitches (with Rico Nasty),2aOG6jVZnTqZwEhjGTcFMM,she / her / black bitch,Doechii,4E2rKHVDssGJm2SCDOMMJB,"['alternative r&b', 'escape room', 'pop', 'r&b', 'rap', 'viral rap']",180076,61,True,0.823,0.62,0,-6.219,1,0.0671,0.000132,0.000354,0.0866,0.194,140.082,BBE
39,Tia Tamera (feat. Rico Nasty),1uNePI826aqh9uC9pgbeHU,Amala (Deluxe Version),Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,"['dance pop', 'pop']",211013,76,True,0.822,0.654,0,-4.623,1,0.132,0.019,0.0,0.233,0.421,119.884,BBE
40,Thot Shit,5zNW5ARjYhJQJz1AChP33n,Thot Shit,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,"['dance pop', 'houston rap', 'pop', 'rap', 'trap queen']",184634,72,True,0.95,0.693,9,-3.424,1,0.0898,0.0133,0.0,0.173,0.891,130.02,BBE
41,OMG BRITT,1lHO9Z4KzFzm9VPxKvT0KE,OMG BRITT,Sudan Archives,2MPHBxznH1fj59jbOWY38u,"['afrofuturism', 'alternative r&b', 'art pop', 'escape room', 'experimental r&b', 'indie soul', 'la pop']",172266,49,False,0.79,0.65,1,-8.227,1,0.0777,0.0233,1.06e-05,0.163,0.173,119.978,BBE
42,Big Energy,6Zu3aw7FfjAF9WA0fA81Oq,Big Energy,Latto,3MdXrJWsbVzdn6fe5JYkSQ,"['pop', 'rap', 'trap queen']",173182,78,True,0.935,0.807,11,-3.838,0,0.114,0.0514,0.0,0.349,0.813,106.017,BBE
43,Conceited,02nTpchENdZ4Nm8AfTmrFv,Conceited,Flo Milli,08PvCOlef4xdOr20jFSTPd,"['dance pop', 'pop', 'rap', 'viral rap']",146440,71,True,0.978,0.683,8,-5.743,1,0.0981,0.0634,5.88e-05,0.523,0.419,118.041,BBE
44,ME FIRST - A COLORS SHOW,27r0boXgMC64byb513mJNu,ME FIRST - A COLORS SHOW,Kari Faux,4c2ighP1wj8E5dVGJDCOiB,"['alternative r&b', 'arkansas hip hop', 'escape room', 'indie r&b', 'indie soul', 'multidisciplinary', 'trap queen']",153573,51,True,0.774,0.664,1,-6.688,1,0.0873,0.204,0.00866,0.0688,0.766,85.024,BBE
45,Feeling Myself,6ORDoQ6jxdfqNyqvUKDHF0,The Pinkprint,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",237840,53,True,0.564,0.703,2,-5.459,1,0.269,0.437,0.00927,0.358,0.477,139.045,BBE
46,Barbie Tingz,2qsQ8eVDPmobZpvDxQCVQu,Barbie Tingz,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",191699,67,True,0.917,0.679,6,-6.083,1,0.266,0.0867,0.0,0.588,0.453,102.449,BBE
47,PUSSY,7ycQto0UwGtuugO5ztmpdO,PUSSY,Latto,3MdXrJWsbVzdn6fe5JYkSQ,"['pop', 'rap', 'trap queen']",141176,57,True,0.587,0.848,6,-4.385,0,0.346,0.0364,0.0,0.246,0.673,169.65,BBE
48,Hot Shit (feat. Ye & Lil Durk),3uJFmluXzYedoJcvhpC1AW,Hot Shit (feat. Ye & Lil Durk),Cardi B,4kYSro6naA4h99UJvo89HB,"['dance pop', 'pop', 'rap']",211649,79,True,0.878,0.685,9,-5.28,1,0.225,0.00152,0.0,0.0753,0.523,157.003,BBE
49,cinderella's dead,5MWXOo8DJwgODtPGaietNz,cinderella's dead,EMELINE,4S38gbKfKkEbty2YAIDIlV,['alt z'],120666,79,True,0.596,0.607,6,-6.179,0,0.168,0.33,0.0,0.103,0.531,119.882,BBE
50,BIZCOCHITO,4kXxEhuatrvwrTQycA7s9B,MOTOMAMI,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,['r&b en espanol'],109120,84,True,0.93,0.774,1,-4.203,1,0.0744,0.605,0.0238,0.12,0.781,116.972,BBE
51,Blow Me,0nFR1Wu0GKCVpBdQG4RMwm,Las Ruinas,Rico Nasty,2OaHYHb2XcFPvqL3VsyPzU,"['alternative r&b', 'dance pop', 'dmv rap', 'escape room', 'pop', 'rap', 'trap queen']",201061,53,True,0.897,0.511,5,-6.978,1,0.312,0.00698,0.0,0.129,0.304,120.006,BBE
52,Act Up,6tB67UANVjDaGPrVu3RcR7,Rap Songs To Shout In The Car,Various Artists,0LyfQWJT6nXafLPZqxe9Of,[],158332,47,True,0.938,0.639,8,-4.696,1,0.188,0.0171,0.0,0.111,0.317,97.07,BBE
53,Do It To It,6MBEjJlXQYXr8dfxDvZuoA,Unappreciated,Cherish,1c70yCa8sRgIiQxl3HOEFo,"['atl hip hop', 'dance pop', 'girl group', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']",226293,67,False,0.826,0.67,2,-5.559,1,0.169,0.00798,0.0,0.495,0.794,74.007,BBE
