,Name,Track_ID,Album,Artist,Artist_ID,Artist_Genre,Duration_ms,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Playlist
35,CHURCH GIRL,2mqTtvbKxH7SoEQ2oGAnsA,RENAISSANCE,Beyoncé,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",224472,78,True,0.792,0.919,2,-5.688,1,0.276,0.0381,5.1e-06,0.368,0.22,92.028,Feelin'_Myself
36,Throw a Lil Mo (Do It),68Smyg3JQ1msbItYvplaXD,Throw a Lil Mo (Do It),Erica Banks,2SXhbucehn00OBVKhzxDyM,"['rap', 'trap queen', 'viral rap']",125760,59,True,0.975,0.502,9,-7.175,1,0.224,0.00524,0.0,0.295,0.777,124.947,Feelin'_Myself
37,Good Love (feat. Usher),52JFc40b28XJDROR3c4uAr,Good Love (feat. Usher),City Girls,37hAfseJWi0G3Scife12Il,"['dance pop', 'pop', 'r&b', 'rap', 'scam rap', 'trap queen']",232787,65,True,0.557,0.843,7,-4.519,1,0.0875,0.00132,0.0,0.109,0.811,129.511,Feelin'_Myself
38,Carry Anne,3gPxfcewMlw2h9n24uW4pm,Shape Up,Leikeli47,0DtXHIvJ8NWBg5pGvsgWnR,"['alternative r&b', 'escape room', 'trap queen']",213613,59,True,0.929,0.557,10,-8.9,0,0.364,0.11,0.0702,0.123,0.486,130.054,Feelin'_Myself
39,Big Steppa,4wS4YABWUMDxcbImu3llWL,"You Still Here, Ho ?",Flo Milli,08PvCOlef4xdOr20jFSTPd,"['dance pop', 'pop', 'rap', 'viral rap']",147525,59,True,0.982,0.857,0,-3.163,1,0.219,0.254,3.99e-05,0.0416,0.581,111.986,Feelin'_Myself
41,Wheelie (feat. 21 Savage),5lrAnzvRBQSgAkpo0WkMjB,777,Latto,3MdXrJWsbVzdn6fe5JYkSQ,"['pop', 'rap', 'trap queen']",170270,59,True,0.908,0.665,1,-6.231,1,0.279,0.0315,0.0,0.0938,0.779,148.034,Feelin'_Myself
42,Hottie (feat. BabyFace Ray),14I77qsasVr6M6XxbxvcxJ,"You Still Here, Ho ?",Flo Milli,08PvCOlef4xdOr20jFSTPd,"['dance pop', 'pop', 'rap', 'viral rap']",181417,57,True,0.918,0.69,10,-5.857,0,0.136,0.0486,5.01e-06,0.108,0.275,126.969,Feelin'_Myself
43,BAFWM,47q42DLArt5uwS8oQso7Yy,Redemption,Big Mali,7x34WSbxJuJnz7pMPWg4Yz,['viral rap'],167424,55,True,0.907,0.681,1,-5.06,1,0.311,0.204,0.0,0.0637,0.726,139.906,Feelin'_Myself
44,Bitch I'm Nice,7u5fFWlc7P46XWECmhyqNo,Bitch I'm Nice,Doechii,4E2rKHVDssGJm2SCDOMMJB,"['alternative r&b', 'escape room', 'pop', 'r&b', 'rap', 'viral rap']",87037,63,True,0.892,0.703,1,-7.707,1,0.0831,0.000237,0.0741,0.0999,0.196,125.042,Feelin'_Myself
45,BABA,2qHdVNExsj55FceFa5S2H9,BABA,Omeretta the Great,3wFzTRAvCLEACzbRmgBEHx,"['trap queen', 'viral rap']",192022,53,True,0.871,0.806,2,-5.197,1,0.25,0.196,0.0,0.172,0.579,140.062,Feelin'_Myself
46,Record Straight,6i7mdZTIEUGD7jrc0xnPBV,No Pressure (Pt. 1),Lakeyah,77gMBvQ2frbQAPyCeoYGm7,"['pop r&b', 'r&b', 'rap', 'viral rap']",116288,53,True,0.911,0.555,8,-6.551,0,0.318,0.0363,0.0,0.44,0.897,94.989,Feelin'_Myself
47,Seduce & Scheme (RAP SH!T: Soundtrack From The Max Original Series),7soX1jrCsDhZdwikQiiibk,Seduce & Scheme (RAP SH!T: Soundtrack From The Max Original Series),Shawna & Mia,1IbE7R5bQCSBeMhVRbWnU7,[],144509,58,True,0.915,0.645,1,-6.312,1,0.0847,0.0012,0.0,0.0794,0.385,108.028,Feelin'_Myself
48,Trick,60kkJZwSjzmoXP9dOWUlqe,Diary of The Flow Queen,Erica Banks,2SXhbucehn00OBVKhzxDyM,"['rap', 'trap queen', 'viral rap']",187875,54,True,0.874,0.541,8,-6.584,1,0.264,0.0421,0.0,0.0814,0.297,143.001,Feelin'_Myself
49,Tread Carefully,7newfXclX39UwWTw2gDswM,Ctrl (Deluxe),SZA,7tYKF4w9nC0nq9CsPZTHyP,"['pop', 'r&b', 'rap']",182068,70,True,0.505,0.249,1,-14.879,0,0.139,0.115,0.0,0.155,0.207,115.815,Feelin'_Myself
0,I WANNA BE YOUR SLAVE,4pt5fDVTg5GhEvEtlz9dKk,Teatro d'ira - Vol. I,Måneskin,0lAWpj5szCSwM4rUMHYmrr,"['indie rock italiano', 'italian pop']",173346,84,True,0.75,0.608,1,-4.008,1,0.0387,0.00165,0.0,0.178,0.958,132.507,Walk_Like_A_Badass
1,Hayloft,2kS6td1yvmpNgZTt1q5pQq,O My Heart,Mother Mother,0e86yPdC41PGRkLp2Q1Bph,['vancouver indie'],181680,78,False,0.527,0.922,9,-2.666,0,0.0728,0.00475,0.000162,0.422,0.49,95.975,Walk_Like_A_Badass
2,Supermassive Black Hole,3lPr8ghNDBLc2uZovNyLs9,Black Holes and Revelations,Muse,12Chz98pHFMPJEknJQMWvI,"['modern rock', 'permanent wave', 'rock']",212439,78,False,0.668,0.921,7,-3.727,1,0.0439,0.0492,0.00517,0.0877,0.782,120.0,Walk_Like_A_Badass
3,Teenagers,7j31rVgGX9Q2blT92VBEA0,The Black Parade,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,"['emo', 'pop punk']",161920,82,False,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647,Walk_Like_A_Badass
4,Vertigo,1uxPC9Sqn1bMLhUaTqFjye,S.I.D.E.S.,Alice Merton,7f0OLhGgBMX9fUjm1dcPip,[],186933,47,False,0.63,0.884,5,-4.292,1,0.0489,0.00103,0.000102,0.268,0.637,134.981,Walk_Like_A_Badass
5,Seize the Power,4wD6EgZCok8Qb5Fs8jszYc,Seize the Power,YONAKA,3Wcyta3gkOdQ4TfY0WyZpu,"['brighton indie', 'modern alternative rock', 'modern rock', 'rock']",161617,62,True,0.633,0.788,5,-4.075,0,0.127,0.0111,1.6e-06,0.0582,0.412,134.13,Walk_Like_A_Badass
6,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,AM,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",272394,88,False,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,Walk_Like_A_Badass
7,Parasite Eve,5OxclJsdFESni44YlpNpkR,Parasite Eve,Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,"['melodic metalcore', 'metalcore', 'rock', 'uk metalcore']",291812,66,True,0.589,0.797,9,-5.464,1,0.15,0.0289,4.35e-06,0.383,0.232,102.489,Walk_Like_A_Badass
8,Can't Stop,3ZOEytgrvLwQaqXreDs2Jx,By the Way (Deluxe Edition),Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']",269000,82,False,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,Walk_Like_A_Badass
9,Weird Leisure,0cJZTQ1x6ko3gbtoLKaoQe,A Celebration Of Endings,Biffy Clyro,1km0R7wy712AzLkA1WjKET,"['modern rock', 'rock', 'scottish rock']",248493,55,True,0.228,0.879,5,-4.326,1,0.0701,0.000141,8.7e-06,0.0484,0.352,145.418,Walk_Like_A_Badass
10,The Emperor,4CtqY9iFkMwCz1pewf0t90,YUNGBLUD,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,"['british indie rock', 'modern rock', 'rock']",175150,53,False,0.514,0.949,8,-3.048,0,0.0872,0.000309,2.46e-05,0.29,0.608,160.063,Walk_Like_A_Badass
11,Icky Thump,2LMq1O0NiqGhPOlXo3McYQ,Icky Thump,The White Stripes,4F84IBURUo98rz4r61KF70,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']",254533,67,False,0.417,0.63,9,-7.24,1,0.0898,0.0209,0.0134,0.0543,0.341,94.214,Walk_Like_A_Badass
12,Jumpsuit,1E1uGhNdBe6Dddbgs2KqtZ,Trench,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,"['modern rock', 'rock']",238560,69,False,0.62,0.61,11,-8.329,0,0.0373,0.00849,0.162,0.205,0.235,127.052,Walk_Like_A_Badass
13,Hate To Say I Told You So,6xxXrNJnnsQNLdgNk8S4y8,Veni Vidi Vicious,The Hives,4DToQR3aKrHQSSRzSz8Nzt,"['alternative rock', 'garage rock', 'garage rock revival', 'indie rock', 'modern rock', 'new rave', 'rock', 'swedish garage rock', 'swedish hard rock', 'swedish indie rock']",199759,63,False,0.451,0.929,5,-5.021,1,0.0549,0.00109,0.00785,0.442,0.378,135.767,Walk_Like_A_Badass
14,I Like The Way You Die,13HPn0OyGLPtJ6iUNiwLYg,I Like The Way You Die,Black Honey,2oVmQT6s29pVIKpqJkyxBS,"['brighton indie', 'english indie rock', 'modern alternative rock', 'modern rock']",188026,51,False,0.546,0.76,9,-6.887,0,0.0399,0.00629,4.66e-05,0.0737,0.41,101.936,Walk_Like_A_Badass
15,Elephant,6qZjm61s6u8Ead9sWxCDro,Lonerism,Tame Impala,5INjqkS1o8h1imAzPqGZBb,"['australian psych', 'neo-psychedelic']",211226,72,False,0.598,0.553,9,-6.742,0,0.0397,0.562,0.157,0.257,0.533,123.075,Walk_Like_A_Badass
16,King,1VSngtLdJhrlfHkLxTyOXK,King,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,"['baroque pop', 'pop', 'uk alternative pop']",280130,63,False,0.73,0.445,6,-8.376,0,0.0446,0.142,0.00109,0.107,0.075,105.976,Walk_Like_A_Badass
17,Dad Vibes,3XM6V7K5nbZf5AQz20fDDb,Dad Vibes,Limp Bizkit,165ZgPlLkK7bf5bDoFc6Sb,"['alternative metal', 'funk metal', 'nu metal', 'rap metal']",132206,53,False,0.698,0.891,6,-5.402,1,0.113,0.0741,2.96e-05,0.313,0.837,95.007,Walk_Like_A_Badass
18,HONEY,7AVf3MdvwHM5CdOdquzu9c,HONEY,LUNA AURA,18UrIT17pqz5fG7J85iwSh,"['alt z', 'indie electropop', 'indie poptimism', 'modern alternative rock']",155680,56,True,0.468,0.902,9,-4.838,1,0.132,0.0325,2.65e-06,0.0664,0.451,119.017,Walk_Like_A_Badass
19,The Way You Used To Do,52LL3IFB8N3PaJmoZ8Xii1,Villains,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,"['alternative metal', 'alternative rock', 'blues rock', 'modern rock', 'nu metal', 'palm desert scene', 'rock', 'stoner metal', 'stoner rock']",274281,63,False,0.482,0.843,0,-5.909,1,0.288,0.0103,0.103,0.362,0.433,97.907,Walk_Like_A_Badass
20,Boilermaker,6Ci6L6EeLqR6VHV1DBJy2S,Boilermaker,Royal Blood,2S5hlvw4CMtMGswFtfdK15,"['alternative rock', 'brighton indie', 'garage rock', 'modern alternative rock', 'modern blues rock', 'modern hard rock', 'modern rock', 'rock']",209480,51,False,0.446,0.778,7,-4.774,1,0.173,0.000201,0.662,0.0492,0.683,94.508,Walk_Like_A_Badass
21,Wild Stare,6NZUOG0R0uxIBkcQ6BIqfq,ROOKERY,Giant Rooks,5wD0owYApRtYmjPWavWKvb,[],194480,51,False,0.646,0.82,10,-3.618,0,0.0521,0.026,0.000171,0.191,0.438,128.061,Walk_Like_A_Badass
22,Ready For Something,0Tep6Kp3UHzpewyC0iSsDd,How Will I Know If Heaven Will Find Me?,The Amazons,7243txmysJ4KbRmH8UAMKO,"['english indie rock', 'garage rock revival', 'modern alternative rock', 'modern rock', 'reading indie', 'rock']",237560,43,False,0.535,0.754,7,-5.417,1,0.0396,0.000292,3.63e-06,0.367,0.335,118.954,Walk_Like_A_Badass
23,Weirdo,0aIj36K0tuJIt6kpN4Jbtq,Inside Voices / Outside Voices,K.Flay,0pCNk4D3E2xtszsm6hMsWr,"['electropop', 'escape room', 'hip pop', 'modern rock', 'pop', 'rock']",225033,49,False,0.575,0.64,6,-6.061,1,0.0455,0.00831,0.00173,0.161,0.565,93.991,Walk_Like_A_Badass
24,Longshot,1Yi8XPnCPoimWwqxwm3uz9,Longshot,Catfish and the Bottlemen,2xaAOVImG2O6lURwqperlD,"['modern alternative rock', 'modern rock', 'rock', 'stomp pop', 'welsh rock']",232960,53,False,0.481,0.765,7,-4.025,1,0.0388,0.00381,0.000737,0.119,0.465,102.829,Walk_Like_A_Badass
25,Aye,5n7yP1qQiXs9uCE3m1eyGB,Aye,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,"['modern rock', 'north east england indie']",186773,48,True,0.587,0.823,1,-4.852,1,0.0456,0.104,4.91e-05,0.0998,0.73,156.048,Walk_Like_A_Badass
26,MAKEMEFEELALIVE,6nh20AP8bdk1TPMvjFnfZo,Adrenaline,You Me At Six,1kNQXvepPjaPgUfeDAF2h6,"['modern alternative rock', 'modern rock', 'pop punk', 'rock']",128613,45,True,0.547,0.987,1,-1.789,1,0.0807,0.00262,0.00024,0.31,0.5,135.014,Walk_Like_A_Badass
27,Sad Girl Summer,52ITJgaQHGQ4Uxnqz44jWP,Sad Girl Summer,Cassyette,3X8VK5wNpLQCVEo4sWBH2A,['alt z'],193181,52,False,0.608,0.728,5,-3.351,1,0.0734,0.00381,0.0,0.0712,0.78,132.137,Walk_Like_A_Badass
28,Babylon,0JlNtj7KalsjE4MWnwfv3U,Dark & Beautiful Secrets,Normandie,1zsOttiR3VjZRnw4Iq8Zg6,['post-screamo'],245538,53,False,0.421,0.817,7,-4.951,0,0.162,0.00808,0.000615,0.755,0.522,194.992,Walk_Like_A_Badass
29,What's the Trick?,14FW5L81Px03LnnsXnB2LG,Fear Of The Dawn,Jack White,4FZ3j1oH43e7cukCALsCwf,"['alternative rock', 'blues rock', 'garage rock', 'garage rock revival', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",214842,55,False,0.375,0.71,0,-8.665,1,0.267,0.000867,0.00628,0.104,0.559,97.335,Walk_Like_A_Badass
30,It's Not Your Fault,0l8NnoFm09sUNcts1ycOtV,PARANOIA,Maggie Lindemann,0uGk2czvcpWQA383Im6ajf,"['alt z', 'dark pop', 'pop', 'post-teen pop']",198748,55,False,0.507,0.88,5,-2.938,0,0.0461,0.0044,0.0176,0.367,0.469,151.936,Walk_Like_A_Badass
31,Dead Weight,7hM9ShrZMCV7xYOQwqBnNb,Dead Weight,PVRIS,6oFs3qk4VepIVFdoD4jmsy,"['modern alternative rock', 'modern rock', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']",207000,51,False,0.6,0.915,4,-2.087,0,0.0665,0.00593,0.00952,0.484,0.589,119.008,Walk_Like_A_Badass
32,This is Our Life,6ckVL9k9M43EKpeXwASuf6,This is Our Life,Des Rocs,2kO6mP0olFJGGh6kvUdNC8,"['modern alternative rock', 'modern rock', 'rebel blues', 'rock']",224306,54,False,0.367,0.877,7,-3.92,1,0.109,0.00108,1.08e-05,0.351,0.395,157.68,Walk_Like_A_Badass
33,Cheer Up London,6YwYfxEFDUZZ1xX5vlBYmF,Are You Satisfied?,Slaves,3xByNj8XW17oW0wsJhgzYL,"['english indie rock', 'kent indie', 'modern alternative rock', 'modern rock']",153266,52,False,0.627,0.861,1,-1.856,1,0.0509,0.000564,0.0,0.0312,0.623,122.133,Walk_Like_A_Badass
34,Slow,7llRb02z7gNG2cWKmtuKaq,Slow,Airways,5fRpvt0RU5UL6YwQekpofE,"['english indie rock', 'modern alternative rock', 'modern rock']",187826,46,True,0.65,0.659,2,-7.74,1,0.0349,0.0137,0.0718,0.284,0.733,91.999,Walk_Like_A_Badass
35,I.N.V.U.,6qTagiSQjEcfpVm1NHJJEU,I.N.V.U.,Kid Kapichi,2iwVdN0Geaw5Sn2Abeh9fB,"['british alternative rock', 'english indie rock', 'modern alternative rock', 'modern rock']",163560,48,False,0.778,0.78,0,-5.3,1,0.0843,0.00611,2.68e-05,0.0314,0.965,125.126,Walk_Like_A_Badass
36,Who’s Gonna Love Me Now,1T9DxFAS1H7RgR4PDUzAGQ,New Age Norms 2,Cold War Kids,6VDdCwrBM4qQaGxoAyxyJC,"['alternative rock', 'indie rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'piano rock', 'rock', 'stomp and holler']",171226,58,False,0.45,0.947,6,-3.608,0,0.207,0.00277,0.00027,0.286,0.298,118.701,Walk_Like_A_Badass
37,Puzzles,0rWIAbUoOL67JAHxxGRKx7,Puzzles,Nova Twins,7I95CM75shzCjHuTzrepjM,"['black punk', 'uk diy punk']",161560,45,True,0.578,0.948,0,-5.304,1,0.137,0.0208,0.000554,0.0746,0.392,88.568,Walk_Like_A_Badass
38,Natural Born Killer,4nMUPQeTor23d8RxiiJO9W,The Midnight Demon Club,Highly Suspect,2pqd3HsfsvcBGtHvPOg6eg,"['modern alternative rock', 'modern rock', 'post-grunge', 'rock']",196135,55,False,0.202,0.742,0,-5.29,1,0.124,0.00169,0.000483,0.128,0.155,194.876,Walk_Like_A_Badass
39,"ILY, HOW ARE YOU?",51sGd4PYmBWbVNMCAh3nd0,I WENT TO HELL AND BACK,AS IT IS,3IXtskFMls8KXRipcIJT9y,"['pop punk', 'uk pop punk']",131363,55,False,0.411,0.95,11,-3.441,0,0.0547,0.00577,1.28e-05,0.625,0.658,166.058,Walk_Like_A_Badass
40,Fuck Me (I Didn’t Know How To Say),07M8tCNuO9RZenyINtp2QB,Fuck Me (I Didn’t Know How To Say),Crawlers,2xtmoxSauQs0TQFUoHmbfy,"['indie pop', 'warrington indie']",186786,56,True,0.521,0.679,8,-6.093,1,0.0892,0.0263,0.00122,0.0911,0.555,179.346,Walk_Like_A_Badass
41,THREE HEADS*,4apXjryIqMFUdOjWMM6zZp,THREE HEADS*,Jean Dawson,7vNNmjV14SKQzlQAEg0BXP,['modern indie pop'],171842,60,False,0.564,0.875,6,-4.013,1,0.052,0.443,0.000158,0.0787,0.61,139.991,Walk_Like_A_Badass
42,What Went Down,78tgXRq9Q6tPNP9hKCpgwB,What Went Down,Foals,6FQqZYVfTNQ1pCqfkwVFEa,"['indie rock', 'modern rock', 'oxford indie', 'rock']",300720,56,False,0.231,0.919,2,-6.182,0,0.0722,0.00313,0.00442,0.0643,0.128,146.94,Walk_Like_A_Badass
43,Smile,0wQKKPy050lguUxlKvHIi5,Blue Weekend,Wolf Alice,3btzEQD6sugImIHPMRgkwV,"['indie rock', 'modern alternative rock', 'modern rock', 'rock']",196800,49,False,0.515,0.764,11,-5.238,1,0.0444,0.000152,0.878,0.064,0.342,93.579,Walk_Like_A_Badass
44,Ready for the High,1v7w94vaYr1gcVUkIgN7y1,Ready for the High,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB,"['liverpool indie', 'modern rock', 'rock']",245320,45,False,0.503,0.77,11,-7.003,0,0.0429,0.0001,0.000743,0.325,0.762,150.107,Walk_Like_A_Badass
45,Oh!,4e72LGraX8sW5iztJvS5fo,Oh!,The Linda Lindas,13dTrWNNrnZ3AkgNyQNKP5,['riot grrrl'],155821,48,False,0.639,0.95,2,-3.313,1,0.0609,3.91e-05,0.494,0.0605,0.898,150.05,Walk_Like_A_Badass
46,God Complex (Mojo),1B3ouXA9iRkqY1ywvZbzZ5,God Complex (Mojo),poutyface,0H44O4IYqpTOGx4c5nV37f,"['alt z', 'modern indie pop', 'viral rap']",106740,48,True,0.573,0.723,6,-3.333,0,0.0571,0.00439,0.335,0.408,0.931,154.958,Walk_Like_A_Badass
47,I EXIST,3eI62ZWWxkl4LUaBqXvA6Y,I EXIST,VUKOVI,1844Ua6R4gOuH6GLdlR4dt,"['modern alternative rock', 'modern rock', 'pixie']",269666,49,True,0.469,0.882,5,-4.702,1,0.068,6.29e-05,0.00483,0.318,0.298,135.055,Walk_Like_A_Badass
48,Apartment Complex on the Eastside,1cRk9clJhi67mcfTxNfnjU,It Took A Lot To Get To This,Dylan Fraser,6Awp6fgyzqQ2XuEvOMjq8D,[],247545,41,True,0.469,0.885,1,-5.433,1,0.0577,0.0758,0.0352,0.346,0.33,149.916,Walk_Like_A_Badass
49,Black Roller Coming,5OLFlnmmC8gQHiFisYvrAh,Spirit Rising,Philip Sayce,5Npr4HpRE8YlsisRjN9T8h,"['blues rock', 'modern blues', 'modern blues rock']",169287,44,False,0.4,0.916,9,-5.443,0,0.0479,0.00982,0.00611,0.171,0.352,168.209,Walk_Like_A_Badass
